Community,number_families,%family_children_under18,number_persons_household,number_persons_family,%moved_last_5yrs,%married_couple_family,%single_parent_family,%single_person,%non_family,%seniors_live_alone
Ingram,1186,40,2.51,3.14,39,56,13,28,3,36
Jefferson,2441,47,2.99,3.29,31,75,10,13,2,15
Kennedy,2092,43,2.99,3.25,23,78,10,13,0,17
Kilbuck,263,43,2.82,3.1,19,75,11,12,2,5
Knoxville,1474,44,2.87,3.4,30,30,52,21,23,3
Larimer,1206,44,2.52,3.3,36,31,29,37,4,35
Leet Township,501,56,3.19,3.49,38,77,11,12,0,18
Leetsdale,473,37,2.61,3.05,30,59,18,22,1,23
Liberty,931,38,2.74,3.09,20,71,10,17,1,24
Lincoln,407,48,3.02,3.31,22,76,10,13,1,27
Lincoln-Lemington-Belmar,1838,43,2.97,3.39,28,50,27,20,3,14
Lincoln Place,1372,41,2.73,3.13,16,67,13,19,2,24
Lower Lawrenceville,912,34,2.3,3.07,42,37,22,37,3,37
Manchester,604,53,2.57,3.56,38,25,31,39,5,44
Marshall,716,47,3.02,3.37,30,76,7,15,2,20
Marshall Shadeland,1817,39,2.58,3.15,28,52,19,27,2,28
McCandless,7162,51,2.95,3.92,45,75,8,15,2,14
McDonald,151,47,2.81,3.24,39,66,13,21,0,28
McKees Rocks,2375,40,2.43,3.09,36,44,22,31,2,18
McKeesport,8339,42,2.51,3.14,33,50,18,30,3,33
Middle Hill,994,38,2.24,2.98,27,24,27,40,8,29
Millvale,1298,40,2.38,3.05,28,49,17,33,3,36
Monroeville,8588,51,2.9,3.28,38,68,10,18,3,23
Moon,3860,55,2.73,3.22,55,69,8,19,4,11
Morningside,1168,38,2.78,3.29,26,59,17,22,2,21
Mt. Lebanon,9522,46,2.62,3.14,38,64,10,25,2,30
Mt. Oliver Neighborhood,211,44,2.86,3.38,5,59,16,23,2,27
Mt. Oliver,1229,41,2.5,3.16,30,50,16,30,3,34
Mt. Washington,3206,42,2.48,3.19,34,48,16,31,5,31
Munhall,4186,37,2.57,3.07,25,60,14,24,1,28
Neville,436,29,2.13,2.67,30,54,12,33,2,29
New Homestead,266,48,3.1,3.39,20,73,14,12,1,17
North Braddock,2389,40,2.58,3.16,26,52,19,28,2,35
North Fayette,2073,51,2.88,3.25,31,68,10,16,2,23
North Oakland,1006,13,1.52,2.32,76,22,5,63,10,53
North Shore,24,71,1.51,2.81,82,14,10,71,4,65
North Versailles,3810,42,2.67,3.12,30,65,12,22,2,25
Northview Heights,686,80,3.42,4.12,2,19,57,23,0,56
Oakdale,512,59,3.04,3.53,26,71,8,19,1,30
Oakmont,1876,38,2.52,3.04,31,57,12,28,2,9
Oakwood,326,34,2.16,2.98,42,47,10,41,2,49
O'Hara Township,2518,47,3.05,3.32,30,78,10,11,1,12
Ohio Township,601,48,3,3.26,31,79,9,11,2,18
Osborne,153,43,2.81,3.16,44,78,10,17,3,23
Overbrook,1559,47,2.93,3.33,20,69,13,17,2,22
Pennsbury Village,197,31,1.66,2.39,82,34,7,50,8,20
Perry North,1631,40,2.56,3.14,34,54,16,26,5,27
Perry South,1794,48,2.84,3.44,33,44,26,25,5,25
Pine Township,1064,50,3.2,3.44,21,80,8,11,1,13
Pitcairn,931,43,2.43,3.08,37,51,15,30,3,51
Pittsburgh,104130,42,2.44,3.15,36,43,19,33,5,31
Pittsburgh SMSA,613363,45,2.68,3.2,33,61,13,23,3,27
Pleasant Hills,2773,48,2.82,3.2,29,73,8,17,2,19
Plum Borough,6823,60,3.2,3.51,32,78,9,12,2,18
Point Breeze,1711,45,2.55,3.07,40,57,12,24,6,24
Point Breeze North,715,44,2.18,2.97,40,34,16,40,10,30
Polish Hill,499,37,2.35,3.02,22,45,18,33,4,30
Port Vue,1562,40,2.78,3.13,20,73,11,16,1,20
Rankin,779,42,2.56,3.17,32,38,30,29,2,31
Regent Square,353,39,2.28,2.9,36,51,13,32,5,31
Reserve,1217,41,2.93,3.31,22,75,11,16,1,23
Richland,2146,51,3.03,3.33,30,77,8,14,2,16
Ridgemont,207,32,2.95,3.32,10,73,10,15,2,22
Robinson Township,3551,35,3.02,3.35,27,74,11,14,2,19
Ross Township,9802,45,2.74,3.19,32,67,9,22,2,27
Rosslyn Farms,157,46,2.83,3.13,33,76,9,14,0,21
Scott,5225,41,2.6,3.12,37,59,10,27,4,16
Sewickley Borough,1279,38,2.34,3.01,36,49,13,35,4,33
Sewickley Heights,256,40,2.73,3.05,40,76,5,15,2,18
Sewickley Hills,114,57,3.06,3.44,49,81,2,14,2,32
Shadyside,2659,23,1.68,2.52,61,25,8,55,11,41
Shaler Township,9486,46,2.96,3.3,25,74,10,14,1,21
Sharpsburg,1211,38,2.4,3.03,26,48,19,31,2,34
Sheraden,2206,48,2.85,3.36,28,59,17,22,2,28
South Fayette,2415,46,2.71,3.13,43,67,11,19,3,11
South Oakland,830,38,2.43,3.12,40,35,19,32,14,61
South Park,3726,58,3,3.88,33,74,9,15,2,20
South Side Flats,2036,28,2.11,2.93,31,36,19,42,4,28
